new_NACA64_A17
1.000000 0.000186
0.999748 0.000229
0.998993 0.000361
0.997736 0.000579
0.995977 0.000882
0.993719 0.001270
0.990964 0.001740
0.987715 0.002291
0.983974 0.002921
0.979746 0.003630
0.975036 0.004417
0.969846 0.005283
0.964184 0.006230
0.958054 0.007262
0.951463 0.008382
0.944418 0.009597
0.936925 0.010916
0.928992 0.012348
0.920627 0.013904
0.911838 0.015598
0.902635 0.017444
0.893027 0.019459
0.883022 0.021660
0.872632 0.024064
0.861867 0.026691
0.850737 0.029559
0.839255 0.032686
0.827430 0.036089
0.815276 0.039784
0.802805 0.043785
0.790028 0.048102
0.776960 0.052743
0.763613 0.057710
0.750000 0.063001
0.736136 0.068610
0.722033 0.074521
0.707708 0.080716
0.693173 0.087165
0.678443 0.093835
0.663534 0.100681
0.648460 0.107654
0.633237 0.114695
0.617879 0.121741
0.602403 0.128721
0.586824 0.135558
0.571157 0.142173
0.555419 0.148483
0.539625 0.154404
0.523791 0.159853
0.507933 0.164750
0.492067 0.169017
0.476209 0.172584
0.460375 0.175389
0.444581 0.177378
0.428843 0.178509
0.413176 0.178752
0.397597 0.178091
0.382121 0.176522
0.366763 0.174057
0.351540 0.170721
0.336466 0.166552
0.321557 0.161603
0.306827 0.155936
0.292292 0.149624
0.277967 0.142749
0.263864 0.135400
0.250000 0.127670
0.236387 0.119653
0.223040 0.111445
0.209972 0.103140
0.197195 0.094829
0.184724 0.086597
0.172570 0.078522
0.160745 0.070676
0.149263 0.063120
0.138133 0.055908
0.127368 0.049082
0.116978 0.042677
0.106973 0.036716
0.097365 0.031216
0.088162 0.026184
0.079373 0.021620
0.071008 0.017518
0.063075 0.013868
0.055582 0.010654
0.048537 0.007857
0.041946 0.005457
0.035816 0.003432
0.030154 0.001758
0.024964 0.000411
0.020254 -0.000631
0.016026 -0.001391
0.012285 -0.001893
0.009036 -0.002157
0.006281 -0.002207
0.004023 -0.002062
0.002264 -0.001747
0.001007 -0.001282
0.000252 -0.000691
0.000000 0.000000
0.000252 -0.004690
0.001007 -0.009269
0.002264 -0.013703
0.004023 -0.017962
0.006281 -0.022015
0.009036 -0.025839
0.012285 -0.029410
0.016026 -0.032710
0.020254 -0.035722
0.024964 -0.038435
0.030154 -0.040839
0.035816 -0.042928
0.041946 -0.044699
0.048537 -0.046151
0.055582 -0.047286
0.063075 -0.048109
0.071008 -0.048627
0.079373 -0.048847
0.088162 -0.048781
0.097365 -0.048441
0.106973 -0.047837
0.116978 -0.046986
0.127368 -0.045900
0.138133 -0.044595
0.149263 -0.043087
0.160745 -0.041389
0.172570 -0.039518
0.184724 -0.037490
0.197195 -0.035319
0.209972 -0.033020
0.223040 -0.030610
0.236387 -0.028104
0.250000 -0.025518
0.263864 -0.022868
0.277967 -0.020171
0.292292 -0.017445
0.306827 -0.014707
0.321557 -0.011977
0.336466 -0.009273
0.351540 -0.006617
0.366763 -0.004029
0.382121 -0.001529
0.397597 0.000862
0.413176 0.003124
0.428843 0.005238
0.444581 0.007185
0.460375 0.008951
0.476209 0.010522
0.492067 0.011887
0.507933 0.013040
0.523791 0.013975
0.539625 0.014695
0.555419 0.015202
0.571157 0.015505
0.586824 0.015615
0.602403 0.015550
0.617879 0.015327
0.633237 0.014968
0.648460 0.014497
0.663534 0.013939
0.678443 0.013319
0.693173 0.012664
0.707708 0.011997
0.722033 0.011342
0.736136 0.010718
0.750000 0.010143
0.763613 0.009631
0.776960 0.009191
0.790028 0.008829
0.802805 0.008546
0.815276 0.008339
0.827430 0.008203
0.839255 0.008126
0.850737 0.008097
0.861867 0.008101
0.872632 0.008121
0.883022 0.008140
0.893027 0.008142
0.902635 0.008111
0.911838 0.008032
0.920627 0.007895
0.928992 0.007688
0.936925 0.007408
0.944418 0.007052
0.951463 0.006621
0.958054 0.006121
0.964184 0.005559
0.969846 0.004949
0.975036 0.004305
0.979746 0.003643
0.983974 0.002981
0.987715 0.002339
0.990964 0.001735
0.993719 0.001189
0.995977 0.000715
0.997736 0.000331
0.998993 0.000047
0.999748 -0.000127
1.000000 -0.000186
